question,answer,intent,label
코로나 37.2도 모양은 아래처럼 생겼고 체온을 잴때마다 체온이 달라지고 거의 37도 이상 37.5도 미만으로 나오는데 학교 같은반에 코로나가 있어서 자가격리 중이거든요 ㅠㅠ 너무 불안해요 36도 나올때도 있고 손목재니까 35.6나오고요 ㅠㅠㅠ 저 코로나 일까요..?,"근육통, 두통, 인후통, 후각·미각소실 - 그 외에 피로, 식욕감소, 가래, 소화기증상(오심, 구토, 설사 등), 혼돈, 어지러움, 콧물이나 코막힘, 객혈, 흉통, 결막염, 피부 증상 등이 다양하게 나타남 코로나는 증상이 다양해요. 질문자님은 코로나 가능성 떨어져요. 하지만 검사 한번 받아보시길 권해드려요. 경과 보세요.",경미한 의심증상,2
코로나 감염 질문 제가 지금 코로나에 걸린 상태인데 입대고 마신 음료수가 냉장고에 있거든요 근데 제가 코로나 완치한 후에 그 입대고 마셨던 음료수를 다시 입대고 마시면 다시 코로나에 걸리나요,코로나 균은 사람의 몸밖에서는 생존시간이 줄어듭니다. 시간간격에 따라서 달라질 수 있지만 감염가능성은 매우 낮다고 생각합니다,경미한 외부접촉,6
코로나 질문 코로나 걸리면 썻던 물품들 다 소녹하잖아요 근데 제대로 소독이 안되어서 막 코로나 재발? 같은게 될 확률은 적나요??,코로나 발병 이후 환자가 사용하였던 물품들은 모두 철저히 소독 또는 폐기를 하게 되어 있습니다. 소독하는 과정에서 소독이 제대로 진행되지 않는다면 코로나가 발병할 경우도 있겠습니다만 그리 큰 확률은 아닐 것으로 보입니다.,경미한 외부접촉,6
"목건조 코로나 , 화요일날 학교에서 같은반 친구 2명이 코로나에 걸려 저희학년 모두 자가격리중입니다. 반에서, 제 증상이 코로나인지 의심되서 물어봅니다. 어제 음성판정 받았고요 어제부터 목이, 근데 하필 자가격리랑 겹쳐버려서, 콧물이나 코막힘도 없습니다. 코로나는 아니겠죠?",코로나19 감염이 아니었으면 좋겠습니다만 확답을 드리기 어렵습니다. 무증상 감염자도 간혹 있으며 'PCR검사' 외에 코로나19를 확인할 수 있는 방법이 없기 때문입니다.,주의단계 의심증상,3
"코로나 증상 질문 급해요, 밀접 접촉자로 자가격리 중인데요 갑자기 기침하더니 살짝 토했는데 코로나일려나요, 창문 열고 춥게 있기도 했는데, 열은 35.4였고요 머리 안아프고 근육통도 없어요","증상으로 코로나를 구분하는 것은 불가능하기도 하거니와 정확한 구분이 아니어서, 이 내용으로 코로나 여부를 답변하는 것은 부적절합니다. 밀접 접촉자로 자가격리 중이라면, 이를 관계부처(현재 자가격리를 관할하는 상담자나 지자체 보건소 등)에 통보하여 적절한 조치를 받도록 하세요",밀접 접촉자 증상 질문,5
코로나 생백신 사백신 코로나 생백신인가요 사백신인가요? 코로나 백신 맞기 전에 b형간염이랑 td 예방접종을 맞는데 둘 다 사백신이라 코로나 백신도 맞아도 되겠죠?,코로나19 백신이 개발 및 사용된지 오래되지 않아 다른 백신과 동시 사용시 부작용의 우려가 있습니다. 그렇기 때문에 코로나19 백신은 다른 백신들과 최소 14일 이상의 간격을 확보하고 접종하도록 되어있습니다. 도움이 되었길 바랍니다. 감사합니다.,접종 간격,7
코로나19 검사 만약 코로나 확진자와 접촉후 바로 코로나 검사를 하면 양성판정이 나옵니까? 그리고 코로나 증상은 어떤게 있나요.,확진자와 접촉하였다고 바로 검사 양성이 되지는 않습니다. 적절한 검체 채취 및 검사 방법을 하지 못하면 음성으로 나오기도 합니다. 코로나 증상은 다음의 내용을 참고하십시오. https://www.youtube.com/watch?v=UeEY9eLGJrM,확진자 접촉 경미,8
가다실9 코로나 백신 가다실9 접종 예정인데 가다실9 과 코로나 백신 을 최소2주 간격을 두고 맞아야 한다고 들었는데 그런가요? 만약 가다실9 1차 접종을 하게 되면 그 후 2주뒤에 코로나 백신 맞아도 상관 없나요? 가다실9 은 3회 맞아야 되는데 1차 2차 3차 다 맞고 코로나 백신을 맞아야 하나요?,코로나백신과 다른 백신과의 접종간격은 2주간 띄울 것을 권고하고 있습니다. 코로나백신 접종처에 말씀하시면 연기해주실 겁니다.,접종 간격,7
해외입국자 아기 코로나검사 만6세 미만 아기는 해외에서 입국할때 코로나 검사 안받아도 된다던데 확실한가요?! 한국에 도착해서는 두번의 코로나 검사를 해야한다던데 그것도 아기는 면제인가요??,코로나 검사를 권고하나 의무는 아닙니다.,코로나 검사 의무,9
기침이 자꾸 나면서 미열이 살짝 있어서 코로나 검사를 받으려고 하는데요~ 코로나 검사는 어디에서 받을 수 있나요?,"코로나 19 검사는 선별진료소와 호흡기전담클리닉에서 시행하고 있습니다. 현재 선별진료소에서의 코로나 검사는 무료이며, 선별진료소가 아닌 병원 등에서는 검사가 유로로 진행되고 있습니다.",코로나 검사 위치,12
